TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;52366,342000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Syddanmark;Privat;Privat;386126,148000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Nordjylland;Erhverv;Erhverv;356658,157000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;27160,140000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Sjælland;Erhverv;Erhverv;306011,531000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Sjælland;Offentlige foretagender;Erhverv;38974,302000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Syddanmark;Erhverv;Erhverv;668409,431000
2024-12-31 18:00:00;2024-12-31 19:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;50016,295000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Hovedstaden;Privat;Privat;516387,977000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Hovedstaden;Erhverv;Erhverv;544887,292000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Midtjylland;Privat;Privat;472034,010000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;90708,717000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Nordjylland;Privat;Privat;233410,092000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Midtjylland;Erhverv;Erhverv;666304,554000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Sjælland;Privat;Privat;367371,705000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;52881,797000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Syddanmark;Privat;Privat;451967,840000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Nordjylland;Erhverv;Erhverv;360757,569000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;27625,803000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Sjælland;Erhverv;Erhverv;308915,537000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Sjælland;Offentlige foretagender;Erhverv;39830,004000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Syddanmark;Erhverv;Erhverv;676066,636000
2024-12-31 17:00:00;2024-12-31 18:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;50772,570000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Hovedstaden;Privat;Privat;502298,772000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Hovedstaden;Erhverv;Erhverv;532129,878000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Midtjylland;Privat;Privat;470711,997000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;93759,687000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Nordjylland;Privat;Privat;234646,332000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Midtjylland;Erhverv;Erhverv;689106,204000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Sjælland;Privat;Privat;363904,098000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;55207,283000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Syddanmark;Privat;Privat;461132,976000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Nordjylland;Erhverv;Erhverv;372411,576000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;28445,835000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Sjælland;Erhverv;Erhverv;314879,540000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Sjælland;Offentlige foretagender;Erhverv;40817,213000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Syddanmark;Erhverv;Erhverv;758241,664000
2024-12-31 16:00:00;2024-12-31 17:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;52412,548000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Hovedstaden;Privat;Privat;482841,172000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Hovedstaden;Erhverv;Erhverv;529471,294000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Midtjylland;Privat;Privat;439079,947000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;97366,947000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Nordjylland;Privat;Privat;218675,833000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Midtjylland;Erhverv;Erhverv;727926,027000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Sjælland;Privat;Privat;343942,685000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;56760,127000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Syddanmark;Privat;Privat;423587,490000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Nordjylland;Erhverv;Erhverv;378372,781000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;29106,535000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Sjælland;Erhverv;Erhverv;327321,975000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Sjælland;Offentlige foretagender;Erhverv;41435,653000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Syddanmark;Erhverv;Erhverv;795365,901000
2024-12-31 15:00:00;2024-12-31 16:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;52812,463000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Hovedstaden;Privat;Privat;458901,668000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Hovedstaden;Erhverv;Erhverv;539556,782000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Midtjylland;Privat;Privat;412289,009000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;93478,715000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Nordjylland;Privat;Privat;206467,388000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Midtjylland;Erhverv;Erhverv;739564,206000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Sjælland;Privat;Privat;320707,520000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;50274,711000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Syddanmark;Privat;Privat;388759,105000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Nordjylland;Erhverv;Erhverv;367993,936000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;25870,171000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Sjælland;Erhverv;Erhverv;327757,519000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Sjælland;Offentlige foretagender;Erhverv;36577,142000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Syddanmark;Erhverv;Erhverv;794898,154000
2024-12-31 14:00:00;2024-12-31 15:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;47970,780000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Hovedstaden;Privat;Privat;438774,471000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Hovedstaden;Erhverv;Erhverv;547975,089000
